title,subsection,type,main_content,context,outcome
"Whole-genome landscapes of 1,364 breast cancers",Key mutational signatures,Q2,"Individuals with HRD (n = 66) exhibited significantly superior disease-free survival compared with those with homologous recombination DNA repair-proficient (HRP) cancer (hazard ratio 0.10, 95% confidence interval 0.02–0.54; P = 0.006; Fig. 2f)",The CUBRICS cohort included 89 patients with triple-negative breast cancer (TNBC) with a treatment history of adjuvant chemotherapy containing anthracycline–cyclophosphamide (Supplementary Table 3). ... this difference was more pronounced than in a previous study with a targeted panel-based assay (Ref: 28),highlighting the potential of WGS for more specific clinical evaluation of HRD.
"Whole-genome landscapes of 1,364 breast cancers",Key mutational signatures,Q2,"APOBEC-associated mutational signatures (SBS2 and SBS13; Fig. 2b) were widespread in breast cancers, contributing more than 10% of somatic SNVs in 633 samples. Of these, 12 samples were hypermutators with APOBEC-associated mutational processes, with TMB of more than 50,000.",(missing),(missing)
"Whole-genome landscapes of 1,364 breast cancers",Key mutational signatures,Q2,"the population allele frequency of the germline deletion was 31.8% in our cohort (present in 736 individuals, 131 being homozygous and 605 heterozygous; Fig. 2g and Extended Data Fig. 4b), significantly higher than the frequency in the European population (Ref: 29) (31.8% versus 8.5%; P < 0.001 by two-sided chi-square test)","A germline deletion involving APOBEC3A and APOBEC3B (APOBEC3A/B), which effectively generates APOBEC3A–APOBEC3B fusion transcripts, has been suggested to predispose to APOBEC-mediated hypermutations (Ref: 29) (Extended Data Fig. 4a).",suggesting an East Asian origin.
"Whole-genome landscapes of 1,364 breast cancers",Key mutational signatures,Q2,"the deletion was not substantially enriched in patients with breast cancer compared with the background Korean population (51.0%, 844 out of 1,654 individuals, with 150 being homozygous and 694 heterozygous; P = 0.276 by two-sided chi-square test; Fig. 2g)","Contrary to previous reports (Ref: 30,31)",suggesting that it is not a strong cancer-predisposing germline variant.
"Whole-genome landscapes of 1,364 breast cancers",Key mutational signatures,Q2,"carriers exhibited reduced APOBEC3B expression (Extended Data Fig. 4c), significantly higher TMB (median 4,325 in wild type versus median 5,148 in carriers; P < 0.001; Fig. 2h) and APOBEC-associated signatures (SBS2, SBS13 and ID9; Extended Data Fig. 4d) in cancers. In addition, wild-type individuals were substantially depleted in the APOBEC hypermutator cancers (10.0% in the top 30 cases versus 46.9% in others; P < 0.001 by two-sided Fisher’s exact test; Fig. 2i). APOBEC-deletion carriers showed an enrichment of APOBEC-associated mutations in the YpTpCpN context than in the RpTpCpN context (where Y represents pyrimidine, R represents purine and the mutated cytosine is underlined; Fig. 2h).",(missing),(missing)
"Whole-genome landscapes of 1,364 breast cancers",Frequently rearranged genes,Q1,To determine the structural variation landscape,(missing),"we generated a DNA interaction map between 5-Mb segments across the entire genome (Fig. 3a), along with large-scale copy number amplification patterns (CNAs; G-score)."
"Whole-genome landscapes of 1,364 breast cancers",Frequently rearranged genes,Q2,"Of the 208,540 structural variation events, local intrachromosomal (<5 Mb) rearrangements were predominant (162,988 out of 208,540, 78.2%), but reshuffling of genomic materials between distal intrachromosomal or interchromosomal regions were also observed (45,266 out of 208,540, 21.7%). Some of the rearrangements were observed more frequently than random. For example, 15 breast cancers carried an interchromosomal translocation between chromosomes 8 and 11, which brought CCND1, and ZNF703 and FGFR1 (ZNF703/FGFR1) into close proximity (mostly luminal B type; 73.3%, 11 out of 15; Fig. 3a, top left).",(missing),(missing)
"Whole-genome landscapes of 1,364 breast cancers",Frequently rearranged genes,Q2,"tumours with these rearrangements exhibited distinct transcriptomic profiles, including upregulation of tumour progression-related pathways such as TNF, TGFβ signalling and epithelial–mesenchymal transition, as well as metabolic reprogramming (Extended Data Fig. 5).","the interaction was observed in lung cancer (Ref: 33), and was also reported to be associated with reduced benefit from aromatase inhibitors in metastatic breast cancer (Ref: 34).",(missing)
"Whole-genome landscapes of 1,364 breast cancers",Frequently rearranged genes,Q2,"Another frequent interchromosomal translocation involved the ERBB2 locus on chromosome 17 and a locus on chromosome 20 (observed in 30 participants), where breast cancer super-enhancers were enriched (Ref: 35) (Fig. 3a, top right). ... structural variations involving the ERBB2 locus were clustered with super-enhancers genome-wide (P = 0.028 by permutation test; Fig. 3b), which translocated super-enhancers in about 90 kb from the ERBB2 locus (Fig. 3c).","Structural variations can influence transcription by disrupting enhancer–promoter interactions, chromatin topology and long-range regulatory elements (Ref: 36).",(missing)
"Whole-genome landscapes of 1,364 breast cancers",Frequently rearranged genes,Q2,"Tumours with extragenic structural variants in the vicinity (within 1 Mb) showed significantly higher ERBB2 gene expression levels than their gene copy number (log2 fold change >1, q-value <0.10; Fig. 3d). They often carried extragenic structural variants in the vicinity (within 1 Mb) with a cancer cell fraction (CCF) of approximately 1 (Fig. 3e), and distal breakpoints significantly enriched near breast cancer-specific super-enhancers (Ref: 35) (Fig. 3f).",(missing),Our observation overall suggests a possible enhancer-hijacking mechanism for transcriptional activation in breast cancer genomes.
"Whole-genome landscapes of 1,364 breast cancers",Frequently rearranged genes,Q2,"A total of 28 genes, including the well-established tumour suppressors RB1, PTEN and RUNX1, exhibited significant downregulation due to gene-truncating structural variants",(missing),reinforcing their tumour suppressor role in breast cancer (Fig. 3g).
"Whole-genome landscapes of 1,364 breast cancers",Frequently rearranged genes,Q2,"we identified several recurrent fusion events (Fig. 3h and Extended Data Figs. 6 and 7). In luminal-type breast cancers, frequent fusion genes were MIPOL1–TTC6 (n = 9), CEP112–PRKCA (n = 6) and CCDC170–ESR1 (n = 6). In basal-like breast cancers, BCL2L14–ETV6 (n = 12), AGO2–PTK2 (n = 6) and BRD4–NOTCH3 (n = 6) were recurrent.",Although recurrent fusion oncogenes are considered rare in breast cancer (Ref: 37),(missing)
"Whole-genome landscapes of 1,364 breast cancers",Frequently rearranged genes,Q2,The fraction of variant-supporting reads suggests that most of the fusion events are clonal or near-clonal,CCDC170–ESR1 has been implicated in endocrine therapy resistance and metastasis in breast cancers (Ref: 38) and BCL2L14–ETV6 has been linked to increased invasiveness and paclitaxel resistance (Ref: 39).,implicating them in tumour initiation.
"Whole-genome landscapes of 1,364 breast cancers",Frequently rearranged genes,Q2,"NRG1 ... was frequently affected by 166 structural variants in 110 cases (8%, 110 out of 1,364; Extended Data Fig. 8; top 2). Although gene disruption was the most frequent outcome (72.9%, 121 out of 166 structural variants), oncogenic fusions were sometimes formed with various partner genes (Ref: 40) (n = 17; Fig. 3i), collectively sixfold more frequently than previous reports (Ref: 41) (1.25% versus 0.2%).",which encodes a small ligand of ERBB family kinase receptors,(missing)
"Whole-genome landscapes of 1,364 breast cancers",Frequently rearranged genes,Q2,the EGF-like domain of NRG1 was retained in all 17 fusion cases,(missing),supporting their oncogenic effect.
"Whole-genome landscapes of 1,364 breast cancers",Hotspots of focal amplifications,Q1,To explore these events in breast cancers,"Focal amplification, which increases the copy number of short-segment DNA (typically up to 3 Mb in size, with a copy number gain greater than 3 compared with flanking regions), is a prominent signature in many human cancers (Ref: 42,43).","we calculated the recurrence score of focal amplifications across the genome, referred to as F-score (Fig. 4a)."
"Whole-genome landscapes of 1,364 breast cancers",Hotspots of focal amplifications,Q2,"The most prominent peaks were observed at chromosome 8 (chr. 8):35–40 Mb, chr. 11:65–70 Mb and chr. 17:35–40 Mb, which included ZNF703 (chr. 8; n = 124; 9.1%) and FGFR1 (chr. 8; n = 107; 7.8%), CCND1 (chr. 11; n = 108; 7.9%) and ERBB2 (chr. 17; n = 255; 18.7%), respectively (Fig. 4b and Extended Data Fig. 9a).",(missing),(missing)
"Whole-genome landscapes of 1,364 breast cancers",Hotspots of focal amplifications,Q2,ZNF703 exhibited higher amplification levels than FGFR1 on chromosome 8,(missing),suggesting its oncogenic role in breast cancer.
"Whole-genome landscapes of 1,364 breast cancers",Hotspots of focal amplifications,Q2,"Gene expression levels of the oncogenes positively correlated with gene copy number in a dose-dependent manner (Extended Data Fig. 9b). Notably, ERBB2 expression exhibited mutual exclusivity with the other oncogenes",(missing),suggesting a redundant oncogenic mechanism between ERBB2 and the other three genes in breast tumorigenesis (Extended Data Fig. 9c).
"Whole-genome landscapes of 1,364 breast cancers",Hotspots of focal amplifications,Q2,CCND1 and ZNF703/FGFR1 loci displayed a positive correlation in RNA expression,in line with their co-rearrangement as previously discussed (Fig. 3a).,(missing)
"Whole-genome landscapes of 1,364 breast cancers",Hotspots of focal amplifications,Q2,"more than 40% of the ERBB2, FGFR1, ZNF703 and CCND1 focal amplifications were formed by extrachromosomal DNA (ecDNA) (Fig. 4c) ... Overall, 387 cancer tissues (28.4%, 387 out of 1,364) carried ecDNA, whose location was tightly correlated with F-score (Fig. 4a).",(missing),"suggesting that ecDNA is the primary mechanism of focal amplification (Ref: 42,44)."
"Whole-genome landscapes of 1,364 breast cancers",Clinical effect of ERBB2 focal gain,Q2,"HER2 IHC correlated with, but did not completely overlap with PAM50 subtypes or ERBB2 gene copy number gains (Fig. 4d). For example, ecDNA-derived focal amplification of ERBB2 (copy number 68) was observed in a case with HER2 IHC 0 (Extended Data Fig. 9d). Conversely, we also observed a case with HER2 IHC 3+ without obvious ERBB2 amplification (Extended Data Fig. 9e). The PAM50 subtype of this case was not HER2-enriched but luminal B, with ERBB2 transcription markedly lower (transcripts per million (TPM) = 43.5) than typically observed in HER2 IHC 3+ tumours (mean TPM = 692.0), but similar to HER2 IHC 0 tumours (Extended Data Fig. 9e).","Immunohistochemistry (IHC) targeting HER2 protein, encoded by ERBB2, is a gold standard technique for clinical detection of HER2-positive breast cancers (Ref: 45).",(missing)
"Whole-genome landscapes of 1,364 breast cancers",Clinical effect of ERBB2 focal gain,Q1,we evaluated whether these genome and transcriptome data can predict treatment responses in HER2-positive cancer.,(missing),(missing)
"Whole-genome landscapes of 1,364 breast cancers",Clinical effect of ERBB2 focal gain,Q2,"cases without pCR (n = 37) were characterized by a higher prevalence of luminal subtypes (P < 0.001, two-sided Fisher’s exact text), hormone receptor positivity (P = 0.001, two-sided chi-square test) and PIK3CA mutations (P = 0.003, two-sided chi-square test), cases with pCR (n = 38) exhibited significantly higher ERBB2 expression (P < 0.001, two-sided Student’s t-test) and a greater frequency of ERBB2 focal amplification (P = 0.001, two-sided Fisher’s exact test; Extended Data Fig. 9f–h (external validation in the TransNEO cohort (Ref: 46))).","Out of 75 individuals with HER2-positive tumours who received neoadjuvant TCHP regimens (docetaxel (microtubule inhibitor), carboplatin (platinum intercalator), trastuzumab and pertuzumab (anti-HER2 inhibitors)), 38 showed pathologic complete response (pCR) (Fig. 4e and Supplementary Table 4).",(missing)
"Whole-genome landscapes of 1,364 breast cancers",Clinical effect of ERBB2 focal gain,Q2,"Although HER2 IHC 3+ was a sensitive biomarker for pCR (36 out of 38, 94.7%), ERBB2 copy number (n ≥ 33; Extended Data Fig. 9i,j) demonstrated higher precision (30 out of 38, 78.9%; Fig. 4f). Overall, ERBB2 copy number provided a complementary performance, with higher prediction in specificity, precision, and likelihood ratio (Fig. 4g).",(missing),(missing)
"Whole-genome landscapes of 1,364 breast cancers",Clinical effect of ERBB2 focal gain,Q2,"tumours with ERBB2 copy number of 33 or more were significantly more likely to be ecDNA-positive (P = 0.003; Fig. 4f, right); however, ERBB2 amplification by ecDNA was not associated with pCR rates (P = 0.540).",ecDNA is generally associated with poor prognosis across multiple cancer types (Ref: 47).,"Our observation suggests that absolute copy number. rather than the amplification mechanism, may be a more relevant predictor of therapeutic response. It also indicates that ERBB2-amplifying ecDNA may be an actionable target for anti-HER2 therapy."
"Whole-genome landscapes of 1,364 breast cancers",Clinical effect of ERBB2 focal gain,Q2,"we observed a significant enrichment of chromothripsis events... in cases with pCR (Ref: 48) (71.1% versus 43.2%; Fig. 4e,h and Supplementary Fig. 8). Adding chromothripsis to cancer stratification improved the precision and specificity of predicting responses to TCHP (Fig. 4g, Extended Data Fig. 9k and Supplementary Discussion 5).",a complex genomic rearrangement with catastrophic chromosomal shattering and erroneous reassembly,(missing)
"Whole-genome landscapes of 1,364 breast cancers",Long-segmental copy number gains,Q2,"The timing analysis with the burden of co-amplified, pre-amplification somatic base substitutions yielded the acquisition timing of the frequent long-segmental CNAs in breast cancer in molecular time (Ref: 49) (Extended Data Fig. 10). Most of the recurrent long-segmental CNAs were acquired by 20% of molecular time, when recent common ancestral cells of a cancer emerge, which should be decades earlier than tumour diagnosis.","Along with focal amplifications, long-segmental amplifications (typically larger than 1 Mb), often chromosome- or arm-level alterations, were common in breast cancers (Fig. 3a).","This implies that acquisition of the long-segmental CNAs is an early evolutionary event in breast cancer, which is presumably acquired in early puberty, consistent with a previous report (Ref: 50). Our findings also suggest that full neoplastic transformation can take decades from the first event of genomic instability."
"Whole-genome landscapes of 1,364 breast cancers",Long-segmental copy number gains,Q2,"The most common CNAs occurred at 8q21.13, with a relative timing of 0.15 (IQR 0.08–0.25) and a median copy number gain of 5.5 (IQR 4.0–8.0). This amplification was associated with poor overall survival (hazard ratio 1.67, 95% confidence interval 1.09–2.55; P = 0.019).","This region contains the MYC oncogene, which has been linked to treatment resistance and poor survival across various solid tumours, including breast cancer (Ref: 51).",(missing)
"Whole-genome landscapes of 1,364 breast cancers",Long-segmental copy number gains,Q2,"CNAs of 9q23 (n = 40), occurring at a relative timing of 0.13 (IQR 0.09–0.25), were enriched in basal-like cancers and exhibited poor overall survival in the subtype (hazard ratio 2.45, 95% confidence interval 1.16–5.18; P = 0.019; Fig. 4i and Supplementary Table 5). External validation in the METABRIC cohort confirmed this trend (Ref: 52) (Extended Data Fig. 11a,b and Supplementary Table 6).",(missing),(missing)
"Whole-genome landscapes of 1,364 breast cancers",Long-segmental copy number gains,Q2,The 9p23 gain was associated with 823 differentially expressed genes genome-wide (282 upregulated and 531 downregulated; Extended Data Fig. 11c),"including PSIP1, which has been reported to be negatively correlated with survival of patients with TNBC (Ref: 53).",(missing)
"Whole-genome landscapes of 1,364 breast cancers",Long-segmental copy number gains,Q2,"Late-stage CNA acquisitions were more frequently observed in HRD breast cancers (P < 0.001; Extended Data Fig. 11d,e).",(missing),This implies that the rate of large-segmental CNAs is accelerated when a tumour cell acquires the HRD phenotype.
"Whole-genome landscapes of 1,364 breast cancers",Long-segmental copy number gains,Q2,"in one case with HRD (no. 635; Fig. 4j), the rate of CNA acquisition was substantially increased from about 75% of the molecular time... By contrast, in another case with HRD (no. 703; Fig. 4k), there was no such late CNA acquisition stage. The cancer developed talazoparib resistance after ten months of the second-line palliative treatment. In line with the resistance, post-therapy cancer genome exhibited an 8-bp deletion in the vicinity of the germline 1-bp deletion in BRCA1",(missing),"which we speculate is the time of complete inactivation of the homologous recombination-mediated DNA repair pathway. ... which is likely to have converted an HRD tumour back to HRP (Fig. 4l). From the timing analysis (Fig. 4k, bottom), we believe that the rescuing mutation could be acquired in about 50% of the molecular time in one of the cells in the primary cancer tissue, which could lead to talazoparib resistance."
"Whole-genome landscapes of 1,364 breast cancers",Potential biomarkers from whole genomes,Q2,"an increased MATH score ... was associated with worse progression-free survival (PFS) in first-line anti-HER2 therapies against HER2-positive breast cancer. In our cohort, 45 patients who received the therapy showed a median PFS of 1.08 years (range 0.14–9.96 years; as of 15 November 2023; Fig. 5a and Supplementary Table 7). Individuals with a high MATH score (≥40; cut-off with the median MATH score) exhibited worse PFS compared to those with a MATH score below 40 (hazard ratio 2.95, 95% confidence interval 1.48–5.91; P = 0.002; Fig. 5b,c).","which is indicative of higher intratumoural heterogeneity,",(missing)
"Whole-genome landscapes of 1,364 breast cancers",Potential biomarkers from whole genomes,Q2,"we identified high TMB, and HRD scores were associated with worse PFS in CDK4/6 inhibitor plus endocrine therapy... In a total of 57 patients receiving the regimens, individuals with a high TMB (≥1.7 per Mb, cut-off with the median TMB) exhibited poor PFS (hazard ratio 2.55, 95% confidence interval 1.26–5.16; P = 0.009; Fig. 5d,e). Thirteen out of the 57 patients exhibited HRD, 85% of whom experienced progression, resulting in a shorter PFS than those with HRP (hazard ratio 4.20, 95% confidence interval 1.91–9.25; P < 0.001; Fig. 5f and Supplementary Table 8). Multivariate Cox proportional hazards analysis indicated HRD as the single most significant factor predicting favourable PFS to the treatment (hazard ratio 10.20, 95% confidence interval 1.68–61.80; P = 0.012; Fig. 5g)",a first-line palliative treatment recently developed for hormone receptor-positive breast cancer (Ref: 54) (Fig. 5d–g).,"warranting validation in larger, prospective studies."
"Whole-genome landscapes of 1,364 breast cancers",Potential biomarkers from whole genomes,Q2,"In gene set enrichment analysis (GSEA), these HRD tumours showed significant enrichment of pathways related to cell cycle progression, DNA repair and mitotic checkpoint activation",(missing),suggesting that these tumours may exhibit increased reliance on cell cycle regulatory mechanisms (Extended Data Fig. 12).
"Whole-genome landscapes of 1,364 breast cancers",Potential biomarkers from whole genomes,Q2,"PTEN mutations were exclusively present in individuals who experienced progression on the treatment ... (P = 0.042, two-sided Fisher’s exact test; Fig. 5d).",(missing),suggesting that they had a negative impact on the treatment
