title,subsection,type,main_content,context,outcome
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TME signals support leukaemogenesis,Q2,"CDO1 expression is restricted to the MSC/osteolineage cells (Extended Data Fig. 4k,l), as we see in mouse samples.",(missing),Our analysis of the limited numbers of stromal cells in these samples indicate that
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TME signals support leukaemogenesis,Q2,"Notably, we found a marked increase in CDO1 protein expression in nearly all matched biopsies of patients who progressed from MDS to secondary AML, and those who relapsed after AML diagnosis (Fig. 2d–g and Extended Data Fig. 4m–p).",(missing),(missing)
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TME signals support leukaemogenesis,Q2,"While CDO1 protein was expressed in undifferentiated human AML MSCs, its expression increased during in vitro mouse and human AML MSC osteogenic differentiation (Extended Data Fig. 5a–c).",(missing),"Thus, CDO1 may be broadly expressed in immature MSCs as well as differentiating osteolineage cells in human bone marrow."
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TME signals support leukaemogenesis,Q2,"Importantly, taurine levels in extracellular medium increased during MSC differentiation (Extended Data Fig. 5d).",(missing),indicating that elevated CDO1 expression is correlated with taurine production
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TME signals support leukaemogenesis,Q1,To determine a functional role of taurine from osteolineage cells,(missing),we tested the impact of inhibiting taurine biosynthesis in mouse and human leukaemia bone-marrow-derived MSCs on co-cultured leukaemia cells.
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TME signals support leukaemogenesis,Q2,"Our experiments showed that mouse LSCs co-cultured with osteolineage cells lacking Cdo1 expression were significantly less viable (about 2-fold lower than the controls) and formed fewer colonies (3.4-fold less than controls), which could be rescued by supplementing cultures with taurine (Extended Data Fig. 5e–g).",(missing),(missing)
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TME signals support leukaemogenesis,Q2,"Similarly, inhibiting CDO1 in osteolineage cultures from MSCs derived from patients with AML impaired survival and colony-formation of co-cultured AML cells from the same patient by 2- to 3.2-fold (Fig. 2h,i and Extended Data Fig. 5h)",(missing),indicating that taurine produced by osteolineage cells promotes LSC growth and survival.
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TME signals support leukaemogenesis,Q2,taurine levels were 1.7-fold higher in leukaemic bone marrow interstitial fluid as compared to the controls (Fig. 2j).,(missing),Consistent with a functional role of taurine from the TME in leukaemia progression
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TME signals support leukaemogenesis,Q1,To determine whether taurine produced locally in the bone marrow niche is essential for leukaemia growth,"In mice, the majority of taurine is synthesized in the liver from cysteine (Ref: 24).","we generated a new Cdo1fl/fl mouse model and crossed it to MSC/osteolineage-specific Prrx1-cre mice (Extended Data Fig. 5i–k). We used these as recipients for LSCs and monitored survival, and the impact on bone marrow microenvironment populations."
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TME signals support leukaemogenesis,Q2,Our experiments showed that Cdo1fl/flPrrx1-cre+ mice lived around 13.5% longer than the controls (Fig. 2k).,(missing),"indicating that taurine produced locally in the leukaemia TME can support disease progression, at least in part"
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TME signals support leukaemogenesis,Q2,We did not find any significant changes in the composition of TME in Cdo1fl/flPrrx1-cre+ leukaemic mice as compared to the controls (Extended Data Fig. 5l–n),(missing),suggesting that leukaemia-driven remodelling of the bone marrow niche does not depend on taurine produced by osteolineage cells.
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TME signals support leukaemogenesis,Q1,whether exogenous taurine supplements can promote leukaemia growth.,(missing),We finally tested
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TME signals support leukaemogenesis,Q2,Our experiments showed that the colony-forming ability of mouse LSCs and patient-derived AML cells increased by 1.2- to 3.3-fold in the presence of taurine (Extended Data Fig. 5o–q).,(missing),(missing)
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TME signals support leukaemogenesis,Q2,Taurine supplements could significantly accelerate disease progression in immunocompetent mice (around threefold higher likelihood of death relative to the controls; Extended Data Fig. 5r),(missing),indicating that taurine can promote leukaemic progression.
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TME signals support leukaemogenesis,Q2,these data,(missing),Collectively... indicate a key role of taurine and APOE from the bone marrow niche in sustaining LSCs.
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TME signals support leukaemogenesis,Q1,as it may be broadly required for growth of aggressive leukaemias.,As SLC6A6 expression was significantly enriched in both human bcCML and AML LSCs as compared to the controls,we focused our studies on SLC6A6
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TAUT loss impairs leukaemogenesis,Q1,To determine whether TAUT has a functional role in leukaemia progression,(missing),"we used global Slc6a6-knockout mice (Ref: 25) (Fig. 3a,b)."
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TAUT loss impairs leukaemogenesis,Q2,(missing),"While Slc6a6-knockout mice are born at Mendelian ratios, they can develop ageing-related defects in bone mass and retinal degeneration (Ref: 25-27).",(missing)
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TAUT loss impairs leukaemogenesis,Q2,Our experiments showed that TAUT loss in LSCs significantly reduced their ability to grow when co-cultured with osteolineage cells expressing either control shRNA or shRNA against Cdo1 (shCdo1; Extended Data Fig. 6a),(missing),indicating that they could not respond to taurine being produced by the niche.
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TAUT loss impairs leukaemogenesis,Q2,"TAUT loss impaired initiation of bcCML in mouse models (3.9-fold higher likelihood of survival; Fig. 3c,d), which could not be rescued with taurine supplements (Extended Data Fig. 6b).",(missing),(missing)
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TAUT loss impairs leukaemogenesis,Q2,"a 2.3-fold reduction in their colony-forming ability (Fig. 3e), as well as a marked increase in the survival of mice transplanted with Slc6a6-/- LSCs (40%) relative to control LSCs (0%) in secondary transplant assays (21.2-fold higher likelihood of survival; Fig. 3f).",(missing),"TAUT loss also led to functional depletion in bcCML LSCs, as indicated by"
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TAUT loss impairs leukaemogenesis,Q2,"The 8.5-fold reduction in colony-forming ability of bcCML LSCs from secondary transplants (Fig. 3g,h).",(missing),suggests that these leukaemias remain dependent on TAUT expression and taurine uptake for their continued propagation
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TAUT loss impairs leukaemogenesis,Q2,We noted no significant differences in bone marrow microenvironmental populations of mice bearing Slc6a6-/- leukaemias as compared to the controls (Extended Data Fig. 6c–g).,(missing),"indicating that leukaemia-driven niche remodelling possibly reflects the extent of the tumour burden, and may be independent of taurine levels within leukaemia cells"
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TAUT loss impairs leukaemogenesis,Q1,To determine whether TAUT is broadly required for de novo AML growth,(missing),we tested the impact of its loss on initiation of leukaemia driven by MLL-AF9/NRAS(G12V) and by AML-ETO9a/NRAS(G12V).
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TAUT loss impairs leukaemogenesis,Q2,Our experiments showed that TAUT loss markedly delays the initiation of MLL-driven AML relative to the control (6.1-fold higher likelihood of survival; Fig. 3i–k).,(missing),(missing)
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TAUT loss impairs leukaemogenesis,Q2,Slc6a6-/- KIT+ AML LSCs from established disease formed 2.9-fold fewer colonies compared with the controls (Fig. 3l),(missing),indicating that TAUT loss depleted functional LSCs.
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TAUT loss impairs leukaemogenesis,Q2,"TAUT loss in disease driven by AML-ETO9a resulted in a marked increase in survival (70%) relative to the controls (0%) (36.3-fold higher likelihood of survival; Fig. 3m,n).",(missing),Consistent with a key role of TAUT expression in myeloid leukaemia initiation
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TAUT loss impairs leukaemogenesis,Q2,"At the cellular level, TAUT loss led to a 2.4- to 3.6-fold reduction in primitive Lin-CD150-FLT3+SCA1+ LSCs (Ref: 6) (Fig. 3o).",(missing),(missing)
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TAUT loss impairs leukaemogenesis,Q2,"Furthermore, TAUT loss increased necrosis and the Lin+ differentiated cells (Fig. 3p and Extended Data Fig. 6h) and promoted cell proliferation (Fig. 3q).",(missing),(missing)
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TAUT loss impairs leukaemogenesis,Q2,These data,(missing),"demonstrate a critical requirement for TAUT in the initiation, self-renewal and propagation of myeloid leukaemia."
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TAUT loss impairs leukaemogenesis,Q1,the impact of TAUT loss on normal haematopoiesis.,(missing),We next tested
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TAUT loss impairs leukaemogenesis,Q2,"TAUT loss does not severely impact bone marrow cellularity, or the total numbers of HSCs, progenitors and differentiated cells at steady-state (Extended Data Fig. 7a–e).",(missing),Our analysis indicates that
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TAUT loss impairs leukaemogenesis,Q2,"While TAUT loss did not impair initial HSC engraftment (1 month after transplant), donor chimerism dropped over time (Extended Data Fig. 7f,g).",(missing),(missing)
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TAUT loss impairs leukaemogenesis,Q2,"Although overall bone marrow chimerism 4 months after transplant was 2.4-fold lower in Slc6a6-/- HSC recipients as compared to Slc6a6+/+ HSC recipients, these Slc6a6-/- HSCs were able to contribute to all haematopoietic lineages (Extended Data Fig. 7h–k).",(missing),(missing)
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TAUT loss impairs leukaemogenesis,Q2,Serial transplantation of Slc6a6+/+ and Slc6a6-/- bone marrow cells showed a similar loss in Slc6a6-/- engraftment over time (Extended Data Fig. 7l–q).,(missing),(missing)
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TAUT loss impairs leukaemogenesis,Q2,These results,(missing),"suggest that, while TAUT loss does not impair steady-state haematopoiesis, it can impact long-term HSC self-renewal and maintenance."
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TAUT loss impairs leukaemogenesis,Q2,These data,"previous studies showing that genetic loss of LSC-enriched genes such as CD98 (Ref: 1), STAU2 (Ref: 6), MSI2 (Ref: 28,29), BRD4 (Ref: 30) and BCL2 (Ref: 31) can impair HSC self-renewal.",are consistent with
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TAUT loss impairs leukaemogenesis,Q3,It is therefore possible that non-genetic approaches using small-molecule inhibitors or gene silencing may identify a therapeutic window for TAUT targeting in human cells.,"However, therapeutic inhibition of CD98 showed minimal toxicity in AML phase I trials (Ref: 1) and BCL2 inhibitors are approved for AML therapy.",We therefore tested the impact of TAUT inhibition on growth and proliferation of normal human HSPCs as well as patient-derived AML cells.
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TAUT is essential for human AML growth,Q2,SLC6A6 expression is enriched in leukaemia stem/progenitors as compared to more mature blasts (Extended Data Fig. 8a).,available gene expression datasets,Our analyses of... indicate that
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TAUT is essential for human AML growth,Q2,"While SLC6A6 is broadly expressed in AML irrespective of karyotype or FAB subtype (TCGA; Extended Data Fig. 8b), increased expression correlates with venetoclax resistance (BEAT-AML; Fig. 4a).",(missing),(missing)
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TAUT is essential for human AML growth,Q2,SLC6A6 expression is also enriched in reactive oxygen species (ROS)-low LSCs from human monocytic AMLs (subtype clinically associated with venetoclax resistance; CD45brightSSChighCD117-CD11b+CD68+) compared with primitive AML (Fig. 4b; CD45medSSClowCD117+CD11b-CD68-) (Ref: 32).,(missing),(missing)
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TAUT is essential for human AML growth,Q2,We find increased SLC6A6 expression in leukaemia cells carrying RAS mutations as compared to wild-type cells (Fig. 4c).,data correlating RAS mutations with venetoclax resistance (Ref: 33),consistent with
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TAUT is essential for human AML growth,Q2,SLC6A6 is also highly expressed in relapsed AML originating from stem/progenitor like cells compared with more committed populations (Ref: 34) (Extended Data Fig. 8c).,(missing),(missing)
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TAUT is essential for human AML growth,Q2,These data,(missing),"collectively indicate that inhibiting SLC6A6 may be of value across AML subtypes, including those commonly associated with venetoclax resistance."
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TAUT is essential for human AML growth,Q1,To determine whether small-molecule inhibitors of TAUT can effectively block leukaemia growth,"two well-characterized structural analogues of taurine that inhibit uptake: 6-aminomethyl-3-methyl-4H-1,2,4-benzothiadiazine-1,1-dioxide hydrochloride (Ref: 35) (TAG) and guanidinoethyl sulphonate (Ref: 36) (GES; Extended Data Fig. 8d,e).",we used
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TAUT is essential for human AML growth,Q2,TAG and GES treatment led to a substantial reduction in colonies formed by Slc6a6+/+ mouse LSCs but not Slc6a6-/- cells (Extended Data Fig. 8f–h).,(missing),(missing)
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TAUT is essential for human AML growth,Q2,"Importantly, while TAG and GES impaired growth of primary human AML cells in colony assays by 1.8- to 20-fold, they did not impact normal human CD34+ HSPC colony growth (Fig. 4d,e).",(missing),(missing)
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TAUT is essential for human AML growth,Q1,whether venetoclax can exacerbate the impact of TAUT loss and/or inhibition on LSC function.,(missing),We next tested
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TAUT is essential for human AML growth,Q2,"venetoclax reduced the viability of mouse Slc6a6-/- LSCs by 3.2-fold and lowered their colony formation by 13.2-fold as compared to the controls (Extended Data Fig. 8i,j).",(missing),Our experiments showed that
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TAUT is essential for human AML growth,Q2,"While TAG, GES or venetoclax alone could impair mouse LSC colony formation by 1.4- to 3.9-fold, their combination was synergistic and led to 2.3- to 7.2-fold fewer colonies as compared to the controls (Extended Data Fig. 8k–m).",(missing),(missing)
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TAUT is essential for human AML growth,Q2,"While primary human AML cells that were treated with GES, TAG or venetoclax alone formed 1.3- to 8.3-fold fewer colonies as compared to the controls, combining the treatments substantially impaired colony formation by 2.4- to 150-fold.",(missing),(missing)
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TAUT is essential for human AML growth,Q2,These data,(missing),indicate that taurine inhibitors can synergize with venetoclax in blocking the growth of human AML cells (Fig. 4f–h).
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TAUT is essential for human AML growth,Q1,to determine the impact of inhibiting TAUT expression on human AML growth.,As TAG and GES did not effectively block taurine uptake in vivo (Extended Data Fig. 9a–j),we used shRNA-based approaches
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TAUT is essential for human AML growth,Q2,"Knocking down SLC6A6 expression using two independent shRNAs significantly impaired taurine uptake by 2.2 to 3.4-fold, as well as the colony-forming ability of human bcCML, AML and MDS cell lines by 2- to 12-fold (Extended Data Fig. 9k–p).",(missing),(missing)
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TAUT is essential for human AML growth,Q2,SLC6A6 knockdown in samples from patients with AML reduced their colony-forming ability by 2.33- to 9.12-fold as compared to the controls (Fig. 4i).,(missing),Our experiments showed that
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TAUT is essential for human AML growth,Q2,SLC6A6 knockdown did not impact colonies formed by normal human CD34+ HSPCs (Fig. 4j).,(missing),By contrast
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TAUT is essential for human AML growth,Q2,"while SLC6A6 knockdown reduced the engraftment of primary AML cells by 1.2- to 40-fold in patient-derived xenograft models (Fig. 4k,l), it did not significantly impair engraftment of normal human CD34+ HSPCs in xenograft models (Fig. 4m).",(missing),Importantly
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,TAUT is essential for human AML growth,Q2,our data,(missing),Collectively... identify a critical requirement for SLC6A6 expression in primary human AML growth and indicate that blocking taurine transport may be of value in aggressive myeloid leukaemias.
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,Taurine drives glycolysis in leukaemia,Q1,To establish the mechanisms by which taurine uptake in leukaemia cells promotes disease progression,(missing),we determined metabolic changes in the absence of taurine.
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,Taurine drives glycolysis in leukaemia,Q2,"significant downregulation of glycolysis/TCA related pathways and metabolites such as pyruvate, glyceraldehyde-3-phosphate and 3-phosphoglycerate in Slc6a6-/- cells (Fig. 5a–c and Extended Data Fig. 10a)",(missing),Our untargeted metabolomic analysis of mouse LSCs identified... suggesting that taurine may regulate energy metabolism
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,Taurine drives glycolysis in leukaemia,Q2,"a 1.3- to 1.8-fold reduction in basal glycolysis, glycolytic capacity, maximal oxygen consumption and spare respiratory capacity in Slc6a6-/- LSCs as compared to the controls (Fig. 5d,e and Extended Data Fig. 10b).",(missing),"Consistent with this, we noted"
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,Taurine drives glycolysis in leukaemia,Q1,To functionally test the role of glycolysis and TCA associated metabolites,(missing),we determined whether bypassing these could rescue Slc6a6-/- defects.
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,Taurine drives glycolysis in leukaemia,Q2,"the colony-forming ability of Slc6a6-/- LSCs could be significantly rescued by pyruvate, sodium acetate and lactate, but not glucagon (Fig. 5f and Extended Data Fig. 10c–e).",(missing),Our experiments showed that
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,Taurine drives glycolysis in leukaemia,Q2,These data,(missing),"suggest that glycolysis, and not gluconeogenesis, is the primary downstream effector of taurine in leukaemia cells."
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,Taurine drives glycolysis in leukaemia,Q1,whether taurine contributed to any cellular metabolite,(missing),We next tested... by determining 13C-taurine incorporation in K562 leukaemia cells.
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,Taurine drives glycolysis in leukaemia,Q2,"identified 13C label only in known taurine conjugates, N-acetyl taurine and glutaurine (Extended Data Fig. 10f,g).",(missing),Our untargeted metabolomic approach
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,Taurine drives glycolysis in leukaemia,Q2,"Membrane-permeable taurine fully rescued colonies formed by Slc6a6-/- cells (Fig. 5g), and N-acetyl-taurine partly rescued this defect (Extended Data Fig. 10h)",(Ref: 37).,perhaps by breakdown to taurine and acetate
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,Taurine drives glycolysis in leukaemia,Q2,glutaurine was unable to rescue the Slc6a6-/- colony formation (Extended Data Fig. 10i).,(missing),By contrast
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,Taurine drives glycolysis in leukaemia,Q2,These experiments,(missing),"indicate that taurine, and not a secondary metabolite, promotes leukaemia growth due to an indirect effect on glycolysis, possibly through downstream signalling."
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,Taurine drives glycolysis in leukaemia,Q1,To identify signals downstream of taurine,(missing),we performed RNA-seq as well as phosphoproteome and total-proteome analyses of primary mouse leukaemia cells (Fig. 5h).
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,Taurine drives glycolysis in leukaemia,Q2,"identified 932 downregulated and 1,158 upregulated genes in the absence of TAUT (Padj < 0.05).",(missing),Our RNA-seq analysis
Taurine from tumour niche drives glycolysis to promote leukaemogenesis,Taurine drives glycolysis in leukaemia,Q2,"The 1,158 upregulated genes included pathways associated with haematopoietic cell lineage and cell cycle regulation (Extended Data Fig. 11a,b).",(missing),(missing)
